province_code,count,name
11,623,Beijing
12,29,Tianjin
13,14,Hebei
14,1,Shanxi
15,6,Inner Mongolia
21,30,Liaoning
22,13,Jilin
23,38,Heilongjiang
31,214,Shanghai
32,137,Jiangsu
33,154,Zhejiang
34,107,Anhui
35,34,Fujian
36,5,Jiangxi
37,49,Shandong
41,21,Henan
42,119,Hubei
43,73,Hunan
44,188,Guangdong
45,19,Guangxi
46,2,Hainan
50,30,Chongqing
51,89,Sichuan
52,3,Guizhou
53,12,Yunnan
61,63,Tibet
62,41,Shaanxi
64,20,Gansu
65,9,Qinghai
71,203,Ningxia
81,201,Xinjiang
82,9,Taiwan
