"count","level_text"
243,"Applied computing"
12,"Applied computing+Arts and humanities"
2,"Applied computing+Computer forensics"
37,"Applied computing+Computers in other domains"
10,"Applied computing+Document management and text processing"
67,"Applied computing+Education"
30,"Applied computing+Electronic commerce"
29,"Applied computing+Enterprise computing"
34,"Applied computing+Law, social and behavioral sciences"
141,"Applied computing+Life and medical sciences"
91,"Applied computing+Operations research"
108,"Applied computing+Physical sciences and engineering"
185,"Computer systems organization"
208,"Computer systems organization+Architectures"
52,"Computer systems organization+Dependable and fault-tolerant systems and networks"
190,"Computer systems organization+Embedded and cyber-physical systems"
13,"Computer systems organization+Real-time systems"
856,"Computing methodologies"
1550,"Computing methodologies+Artificial intelligence"
223,"Computing methodologies+Computer graphics"
2,"Computing methodologies+Concurrent computing methodologies"
12,"Computing methodologies+Distributed computing methodologies"
955,"Computing methodologies+Machine learning"
182,"Computing methodologies+Modeling and simulation"
43,"Computing methodologies+Parallel computing methodologies"
45,"Computing methodologies+Symbolic and algebraic manipulation"
62,"General and reference"
98,"General and reference+Cross-computing tools and techniques"
36,"General and reference+Document types"
102,"Hardware"
66,"Hardware+Communication hardware, interfaces and storage"
19,"Hardware+Electronic design automation"
29,"Hardware+Emerging technologies"
3,"Hardware+Hardware validation"
74,"Hardware+Integrated circuits"
60,"Hardware+Power and energy"
4,"Hardware+Robustness"
17,"Hardware+Very large scale integration design"
168,"Human-centered computing"
4,"Human-centered computing+Accessibility"
58,"Human-centered computing+Collaborative and social computing"
231,"Human-centered computing+Human computer interaction (HCI)"
67,"Human-centered computing+Interaction design"
110,"Human-centered computing+Ubiquitous and mobile computing"
41,"Human-centered computing+Visualization"
434,"Information systems"
129,"Information systems+Data management systems"
547,"Information systems+Information retrieval"
21,"Information systems+Information storage systems"
549,"Information systems+Information systems applications"
208,"Information systems+World Wide Web"
98,"Mathematics of computing"
3,"Mathematics of computing+Continuous mathematics"
57,"Mathematics of computing+Discrete mathematics"
5,"Mathematics of computing+Information theory"
133,"Mathematics of computing+Mathematical analysis"
6,"Mathematics of computing+Mathematical software"
72,"Mathematics of computing+Probability and statistics"
302,"Networks"
77,"Networks+Network algorithms"
44,"Networks+Network architectures"
20,"Networks+Network components"
64,"Networks+Network performance evaluation"
82,"Networks+Network properties"
77,"Networks+Network protocols"
90,"Networks+Network services"
296,"Networks+Network types"
110,"Security and privacy"
12,"Security and privacy+Cryptography"
1,"Security and privacy+Database and storage security"
9,"Security and privacy+Formal methods and theory of security"
17,"Security and privacy+Human and societal aspects of security and privacy"
25,"Security and privacy+Intrusion/anomaly detection and malware mitigation"
25,"Security and privacy+Network security"
13,"Security and privacy+Security in hardware"
49,"Security and privacy+Security services"
29,"Security and privacy+Software and application security"
42,"Security and privacy+Systems security"
73,"Social and professional topics"
37,"Social and professional topics+Computing / technology policy"
139,"Social and professional topics+Professional topics"
31,"Social and professional topics+User characteristics"
103,"Software and its engineering"
182,"Software and its engineering+Software creation and management"
45,"Software and its engineering+Software notations and tools"
152,"Software and its engineering+Software organization and properties"
128,"Theory of computation"
2,"Theory of computation+Computational complexity and cryptography"
170,"Theory of computation+Design and analysis of algorithms"
1,"Theory of computation+Formal languages and automata theory"
8,"Theory of computation+Logic"
9,"Theory of computation+Models of computation"
13,"Theory of computation+Semantics and reasoning"
161,"Theory of computation+Theory and algorithms for application domains"
