"count","level_text"
97,"Applied computing"
19,"Applied computing+Arts and humanities"
1,"Applied computing+Computer forensics"
10,"Applied computing+Computers in other domains"
9,"Applied computing+Document management and text processing"
18,"Applied computing+Education"
10,"Applied computing+Electronic commerce"
10,"Applied computing+Enterprise computing"
30,"Applied computing+Law, social and behavioral sciences"
68,"Applied computing+Life and medical sciences"
21,"Applied computing+Operations research"
23,"Applied computing+Physical sciences and engineering"
83,"Computer systems organization"
92,"Computer systems organization+Architectures"
28,"Computer systems organization+Dependable and fault-tolerant systems and networks"
66,"Computer systems organization+Embedded and cyber-physical systems"
9,"Computer systems organization+Real-time systems"
371,"Computing methodologies"
561,"Computing methodologies+Artificial intelligence"
149,"Computing methodologies+Computer graphics"
3,"Computing methodologies+Distributed computing methodologies"
558,"Computing methodologies+Machine learning"
60,"Computing methodologies+Modeling and simulation"
17,"Computing methodologies+Parallel computing methodologies"
31,"Computing methodologies+Symbolic and algebraic manipulation"
63,"General and reference"
121,"General and reference+Cross-computing tools and techniques"
14,"General and reference+Document types"
96,"Hardware"
51,"Hardware+Communication hardware, interfaces and storage"
13,"Hardware+Electronic design automation"
22,"Hardware+Emerging technologies"
5,"Hardware+Hardware test"
4,"Hardware+Hardware validation"
53,"Hardware+Integrated circuits"
108,"Hardware+Power and energy"
2,"Hardware+Robustness"
13,"Hardware+Very large scale integration design"
106,"Human-centered computing"
69,"Human-centered computing+Collaborative and social computing"
90,"Human-centered computing+Human computer interaction (HCI)"
11,"Human-centered computing+Interaction design"
100,"Human-centered computing+Ubiquitous and mobile computing"
13,"Human-centered computing+Visualization"
322,"Information systems"
145,"Information systems+Data management systems"
447,"Information systems+Information retrieval"
40,"Information systems+Information storage systems"
361,"Information systems+Information systems applications"
148,"Information systems+World Wide Web"
36,"Mathematics of computing"
28,"Mathematics of computing+Discrete mathematics"
13,"Mathematics of computing+Information theory"
27,"Mathematics of computing+Mathematical analysis"
36,"Mathematics of computing+Probability and statistics"
154,"Networks"
49,"Networks+Network algorithms"
26,"Networks+Network architectures"
22,"Networks+Network components"
55,"Networks+Network performance evaluation"
41,"Networks+Network properties"
32,"Networks+Network protocols"
38,"Networks+Network services"
154,"Networks+Network types"
77,"Security and privacy"
29,"Security and privacy+Cryptography"
4,"Security and privacy+Database and storage security"
8,"Security and privacy+Formal methods and theory of security"
20,"Security and privacy+Human and societal aspects of security and privacy"
20,"Security and privacy+Intrusion/anomaly detection and malware mitigation"
16,"Security and privacy+Network security"
19,"Security and privacy+Security in hardware"
16,"Security and privacy+Security services"
32,"Security and privacy+Software and application security"
43,"Security and privacy+Systems security"
51,"Social and professional topics"
23,"Social and professional topics+Computing / technology policy"
121,"Social and professional topics+Professional topics"
7,"Social and professional topics+User characteristics"
73,"Software and its engineering"
104,"Software and its engineering+Software creation and management"
31,"Software and its engineering+Software notations and tools"
174,"Software and its engineering+Software organization and properties"
111,"Theory of computation"
7,"Theory of computation+Computational complexity and cryptography"
125,"Theory of computation+Design and analysis of algorithms"
1,"Theory of computation+Formal languages and automata theory"
9,"Theory of computation+Logic"
21,"Theory of computation+Models of computation"
9,"Theory of computation+Randomness, geometry and discrete structures"
15,"Theory of computation+Semantics and reasoning"
123,"Theory of computation+Theory and algorithms for application domains"
