"count","level_text"
58,"Applied computing"
5,"Applied computing+Arts and humanities"
5,"Applied computing+Computer forensics"
5,"Applied computing+Computers in other domains"
2,"Applied computing+Document management and text processing"
12,"Applied computing+Education"
5,"Applied computing+Electronic commerce"
7,"Applied computing+Enterprise computing"
14,"Applied computing+Law, social and behavioral sciences"
71,"Applied computing+Life and medical sciences"
8,"Applied computing+Operations research"
9,"Applied computing+Physical sciences and engineering"
48,"Computer systems organization"
74,"Computer systems organization+Architectures"
32,"Computer systems organization+Dependable and fault-tolerant systems and networks"
43,"Computer systems organization+Embedded and cyber-physical systems"
2,"Computer systems organization+Real-time systems"
216,"Computing methodologies"
337,"Computing methodologies+Artificial intelligence"
48,"Computing methodologies+Computer graphics"
9,"Computing methodologies+Distributed computing methodologies"
298,"Computing methodologies+Machine learning"
20,"Computing methodologies+Modeling and simulation"
2,"Computing methodologies+Parallel computing methodologies"
19,"Computing methodologies+Symbolic and algebraic manipulation"
15,"General and reference"
21,"General and reference+Cross-computing tools and techniques"
8,"General and reference+Document types"
25,"Hardware"
17,"Hardware+Communication hardware, interfaces and storage"
6,"Hardware+Emerging technologies"
1,"Hardware+Hardware test"
1,"Hardware+Hardware validation"
24,"Hardware+Integrated circuits"
3,"Hardware+Power and energy"
11,"Hardware+Robustness"
4,"Hardware+Very large scale integration design"
84,"Human-centered computing"
8,"Human-centered computing+Accessibility"
29,"Human-centered computing+Collaborative and social computing"
146,"Human-centered computing+Human computer interaction (HCI)"
18,"Human-centered computing+Interaction design"
44,"Human-centered computing+Ubiquitous and mobile computing"
23,"Human-centered computing+Visualization"
204,"Information systems"
86,"Information systems+Data management systems"
332,"Information systems+Information retrieval"
11,"Information systems+Information storage systems"
139,"Information systems+Information systems applications"
112,"Information systems+World Wide Web"
19,"Mathematics of computing"
29,"Mathematics of computing+Discrete mathematics"
17,"Mathematics of computing+Mathematical analysis"
3,"Mathematics of computing+Mathematical software"
10,"Mathematics of computing+Probability and statistics"
49,"Networks"
14,"Networks+Network algorithms"
3,"Networks+Network architectures"
6,"Networks+Network components"
18,"Networks+Network performance evaluation"
28,"Networks+Network properties"
15,"Networks+Network protocols"
18,"Networks+Network services"
26,"Networks+Network types"
44,"Security and privacy"
2,"Security and privacy+Cryptography"
1,"Security and privacy+Database and storage security"
7,"Security and privacy+Formal methods and theory of security"
16,"Security and privacy+Human and societal aspects of security and privacy"
13,"Security and privacy+Intrusion/anomaly detection and malware mitigation"
6,"Security and privacy+Network security"
7,"Security and privacy+Security in hardware"
12,"Security and privacy+Security services"
20,"Security and privacy+Software and application security"
14,"Security and privacy+Systems security"
17,"Social and professional topics"
8,"Social and professional topics+Computing / technology policy"
30,"Social and professional topics+Professional topics"
5,"Social and professional topics+User characteristics"
32,"Software and its engineering"
61,"Software and its engineering+Software creation and management"
14,"Software and its engineering+Software notations and tools"
34,"Software and its engineering+Software organization and properties"
58,"Theory of computation"
10,"Theory of computation+Computational complexity and cryptography"
75,"Theory of computation+Design and analysis of algorithms"
4,"Theory of computation+Formal languages and automata theory"
2,"Theory of computation+Logic"
10,"Theory of computation+Models of computation"
6,"Theory of computation+Randomness, geometry and discrete structures"
3,"Theory of computation+Semantics and reasoning"
76,"Theory of computation+Theory and algorithms for application domains"
