province_code,count,name
11,1626,Beijing
12,129,Tianjin
13,28,Hebei
14,14,Shanxi
15,8,Inner Mongolia
21,106,Liaoning
22,49,Jilin
23,123,Heilongjiang
31,468,Shanghai
32,435,Jiangsu
33,285,Zhejiang
34,207,Anhui
35,67,Fujian
36,22,Jiangxi
37,181,Shandong
41,56,Henan
42,320,Hubei
43,218,Hunan
44,411,Guangdong
45,97,Guangxi
46,6,Hainan
50,88,Chongqing
51,222,Sichuan
52,15,Guizhou
53,42,Yunnan
54,3,Tibet
61,207,Shaanxi
62,111,Gansu
63,3,Qinghai
64,99,Ningxia
65,5,Xinjiang
71,530,Taiwan
81,438,Hongkong
82,32,Macao
